status,ok,latency_ms,error
201,true,8.224,""
201,true,8.458,""
201,true,7.996,""
201,true,7.723,""
201,true,9.377,""
201,true,7.326,""
201,true,7.939,""
201,true,7.852,""
201,true,8.945,""
201,true,8.514,""
201,true,8.936,""
201,true,11.680,""
201,true,8.547,""
201,true,10.213,""
201,true,9.115,""
201,true,9.975,""
201,true,8.264,""
201,true,8.090,""
201,true,8.043,""
201,true,9.084,""
201,true,8.537,""
201,true,9.232,""
201,true,8.851,""
201,true,11.524,""
201,true,8.587,""
201,true,8.949,""
201,true,9.201,""
201,true,9.390,""
201,true,11.655,""
201,true,8.868,""
201,true,8.287,""
201,true,9.095,""
201,true,10.412,""
201,true,7.769,""
201,true,9.562,""
201,true,8.230,""
201,true,9.330,""
201,true,7.793,""
201,true,12.046,""
201,true,8.552,""
201,true,8.488,""
201,true,8.229,""
201,true,10.780,""
201,true,7.859,""
201,true,8.225,""
201,true,8.910,""
201,true,9.011,""
201,true,7.847,""
201,true,9.095,""
201,true,8.758,""
201,true,9.149,""
201,true,18.550,""
201,true,19.691,""
201,true,19.335,""
201,true,23.504,""
201,true,19.894,""
201,true,29.237,""
201,true,27.780,""
201,true,30.297,""
201,true,25.881,""
201,true,24.335,""
201,true,29.001,""
201,true,25.372,""
201,true,21.340,""
201,true,16.823,""
201,true,17.930,""
201,true,16.529,""
201,true,21.809,""
201,true,25.606,""
201,true,17.963,""
201,true,20.120,""
201,true,23.622,""
201,true,24.117,""
201,true,22.884,""
201,true,18.678,""
201,true,23.413,""
201,true,40.895,""
201,true,33.575,""
201,true,38.024,""
201,true,32.474,""
201,true,28.645,""
201,true,26.313,""
201,true,32.467,""
201,true,27.188,""
201,true,24.747,""
201,true,41.266,""
201,true,28.463,""
201,true,28.880,""
201,true,35.332,""
201,true,28.984,""
201,true,31.422,""
201,true,29.208,""
201,true,27.376,""
201,true,28.636,""
201,true,31.574,""
201,true,37.531,""
201,true,26.744,""
201,true,27.861,""
201,true,36.915,""
201,true,30.231,""
201,true,42.827,""
201,true,25.718,""
201,true,21.481,""
201,true,18.752,""
201,true,19.199,""
201,true,13.405,""
201,true,13.541,""
201,true,18.150,""
201,true,28.567,""
201,true,18.933,""
201,true,12.661,""
201,true,13.900,""
201,true,13.591,""
201,true,15.624,""
201,true,13.322,""
201,true,16.548,""
201,true,17.116,""
201,true,22.903,""
201,true,22.475,""
201,true,12.667,""
201,true,17.956,""
201,true,13.325,""
201,true,14.479,""
201,true,12.763,""
201,true,11.738,""
201,true,14.004,""
201,true,12.111,""
201,true,16.822,""
201,true,15.120,""
201,true,12.590,""
201,true,14.664,""
201,true,12.816,""
201,true,13.585,""
201,true,12.255,""
201,true,14.890,""
201,true,13.724,""
201,true,13.936,""
201,true,13.345,""
201,true,17.739,""
201,true,35.696,""
201,true,230.943,""
201,true,19.736,""
201,true,17.859,""
201,true,15.319,""
201,true,12.895,""
201,true,12.494,""
201,true,11.154,""
201,true,9.164,""
201,true,9.386,""
201,true,8.657,""
201,true,10.212,""
201,true,7.706,""
201,true,10.167,""
201,true,10.295,""
201,true,10.735,""
201,true,44.426,""
201,true,23.643,""
201,true,25.324,""
201,true,11.820,""
201,true,11.932,""
201,true,12.870,""
201,true,10.688,""
201,true,13.649,""
201,true,10.176,""
201,true,13.745,""
201,true,14.889,""
201,true,11.029,""
201,true,11.318,""
201,true,11.583,""
201,true,11.827,""
201,true,10.019,""
201,true,9.134,""
201,true,9.731,""
201,true,10.303,""
201,true,10.386,""
201,true,12.889,""
201,true,15.603,""
201,true,11.427,""
201,true,9.819,""
201,true,12.044,""
201,true,10.363,""
201,true,11.376,""
201,true,10.314,""
201,true,11.142,""
201,true,10.218,""
201,true,18.582,""
201,true,9.496,""
201,true,9.859,""
201,true,8.744,""
201,true,8.953,""
201,true,8.437,""
201,true,13.899,""
201,true,14.419,""
201,true,9.065,""
201,true,8.537,""
201,true,7.972,""
201,true,9.599,""
201,true,8.547,""
201,true,8.039,""
201,true,8.309,""
201,true,8.101,""
201,true,8.888,""
201,true,8.233,""
201,true,10.358,""
201,true,8.446,""
201,true,10.824,""
201,true,8.826,""
201,true,9.155,""
201,true,9.383,""
201,true,8.747,""
201,true,8.054,""
201,true,8.489,""
201,true,7.697,""
201,true,9.018,""
201,true,7.260,""
201,true,7.752,""
201,true,7.481,""
